回号	抽せん日	nm1	nm2	nm3	nm4	nm5	nm6	bonus
第2070回	2026-01-22	6	10	25	30	34	36	12
第2069回	2026-01-19	6	17	23	27	33	35	4
第2068回	2026-01-15	2	10	13	14	29	33	32
第2067回	2026-01-12	3	4	12	15	32	42	31
第2066回	2026-01-08	8	28	30	32	37	38	5
第2065回	2026-01-05	6	18	21	31	37	40	3
第2064回	2025-12-29	2	7	24	37	39	41	3
第2063回	2025-12-25	4	28	29	30	38	42	15
第2062回	2025-12-22	1	9	18	24	35	42	8
第2061回	2025-12-18	5	6	13	21	33	34	40
第2060回	2025-12-15	8	16	22	40	41	42	10
第2059回	2025-12-11	2	13	26	28	38	43	3
第2058回	2025-12-08	9	12	14	16	19	42	18
第2057回	2025-12-04	5	7	21	22	38	41	24
第2056回	2025-12-01	3	7	15	17	19	30	38
第2055回	2025-11-27	11	12	14	17	21	26	2
第2054回	2025-11-24	1	14	27	30	33	37	23
第2053回	2025-11-20	20	28	31	35	37	41	13
第2052回	2025-11-17	1	3	18	25	30	34	10
第2051回	2025-11-13	3	15	27	28	31	39	20
第2050回	2025-11-10	6	11	15	21	25	32	5
第2049回	2025-11-06	10	24	25	39	40	42	19
第2048回	2025-11-03	8	13	18	32	37	43	27
第2047回	2025-10-30	10	11	16	19	37	39	27
第2046回	2025-10-27	2	5	10	22	25	38	14
第2045回	2025-10-23	1	4	7	12	16	28	19
第2044回	2025-10-20	1	6	11	26	33	40	14
第2043回	2025-10-16	11	19	22	34	40	42	31
第2042回	2025-10-13	9	14	29	38	41	43	12
第2041回	2025-10-09	4	19	22	24	32	38	11
第2040回	2025-10-06	7	12	14	15	24	30	32
第2039回	2025-10-02	2	15	25	27	38	42	22
第2038回	2025-09-29	5	31	37	39	41	42	33
第2037回	2025-09-25	7	12	20	23	27	29	10
第2036回	2025-09-22	7	10	17	26	35	42	33
第2035回	2025-09-18	5	10	12	17	21	35	9
第2034回	2025-09-15	2	13	22	25	35	37	17
第2033回	2025-09-11	5	16	21	22	33	35	26
第2032回	2025-09-08	8	15	27	33	37	39	31
第2031回	2025-09-04	2	3	16	20	23	29	27
第2030回	2025-09-01	3	7	28	29	32	36	13
第2029回	2025-08-28	7	21	31	36	40	43	41
第2028回	2025-08-25	6	10	12	19	21	42	16
第2027回	2025-08-21	5	12	18	23	34	39	13
第2026回	2025-08-18	2	5	8	11	20	26	28
第2025回	2025-08-14	12	18	26	28	41	43	35
第2024回	2025-08-11	10	13	16	29	34	42	21
第2023回	2025-08-07	1	20	28	29	31	43	5
第2022回	2025-08-04	2	3	18	26	31	33	30
第2021回	2025-07-31	2	17	22	29	30	43	31
第2020回	2025-07-28	5	21	23	28	38	39	32
第2019回	2025-07-24	7	13	14	21	39	42	9
第2018回	2025-07-21	1	2	14	21	22	33	37
第2017回	2025-07-17	2	4	11	22	24	35	8
第2016回	2025-07-14	10	13	27	31	40	42	1
第2015回	2025-07-10	6	8	13	16	20	23	26
第2014回	2025-07-07	7	11	21	24	29	34	40
第2013回	2025-07-03	7	12	30	31	39	43	42
第2012回	2025-06-30	1	14	20	36	38	41	30
第2011回	2025-06-26	12	14	18	24	30	42	4
第2010回	2025-06-23	9	15	24	29	31	40	13
第2009回	2025-06-19	8	17	20	35	36	40	12
第2008回	2025-06-16	5	8	9	17	22	36	30
第2007回	2025-06-12	6	18	23	24	30	35	38
第2006回	2025-06-09	4	7	19	22	26	28	33
