回号	1~14_rank	15~29_rank	30~43_rank	mean_rank	min_rank	max_rank	1~14_rank_z	15~29_rank_z	30~43_rank_z	mean_rank_z	min_rank_z	max_rank_z	anomaly_score
第2068回	2	4	0	16.0	3	27	0.02235390489296395	1.7405313893186287	-1.81535999406046	-1.2632389348242332	-0.6460670289805597	-2.21040099712822	3.5782452882720523
第2067回	2	2	2	23.83	2	40	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.3928547342000209	-0.8431250162643733	0.458767034086678	0.12601530114832138
第2066回	3	0	3	24.0	8	41	0.9481326977771802	-1.8647413146313947	0.9700146474286917	0.42881079087104595	0.3392229074385083	0.6640876518724393	3.7828886598372664
第2065回	2	2	2	22.17	3	35	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.041754416118251224	-0.6460670289805597	-0.5678360548421288	0.12601530114832138
第2064回	2	3	1	18.0	3	35	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.8402265034004134	-0.6460670289805597	-0.5678360548421288	1.7484688984548296
第2063回	3	1	2	20.83	2	41	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.24166391293570877	-0.8431250162643733	0.6640876518724393	1.9531122700200436
第2062回	1	1	4	28.83	3	43	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.4503858127595703	-0.6460670289805597	1.0747288874439622	3.7653208878935502
第2061回	2	1	3	23.5	4	39	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.323057683015091	-0.4490090416967461	0.25344641630091663	1.9557916909655444
第2060回	2	1	3	22.83	4	39	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.18134851848811104	-0.4490090416967461	0.25344641630091663	1.9557916909655444
第2059回	1	4	1	21.83	5	32	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	-0.030157697223798866	-0.25195105441293253	-1.183797908199413	3.5308580575406237
第2058回	3	1	2	21.5	3	43	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.09995474840872877	-0.6460670289805597	1.0747288874439622	1.9531122700200436
第2057回	4	0	2	15.83	1	40	1.8739114906613967	-1.8647413146313947	0.04155643359897447	-1.2991949914952579	-1.040183003548187	0.458767034086678	3.780209238891766
