回号	抽せん日	nm1	nm2	nm3	nm4	nm5	nm6	bonus	nm1_last_app	nm2_last_app	nm3_last_app	nm4_last_app	nm5_last_app	nm6_last_app	mean_last_app	max_last_app
第2070回	2026-01-22	6	10	25	30	34	36	12	1.0	2.0	18.0	4.0	9.0	40.0	12.33	40.0
第2069回	2026-01-19	6	17	23	27	33	35	4	4.0	13.0	32.0	15.0	1.0	7.0	12.0	32.0
第2068回	2026-01-15	2	10	13	14	29	33	32	4.0	19.0	7.0	10.0	5.0	7.0	8.67	19.0
第2067回	2026-01-12	3	4	12	15	32	42	31	11.0	4.0	9.0	11.0	1.0	4.0	6.67	11.0
第2066回	2026-01-08	8	28	30	32	37	38	5	6.0	3.0	3.0	16.0	1.0	3.0	5.33	16.0
第2065回	2026-01-05	6	18	21	31	37	40	3	4.0	3.0	4.0	12.0	1.0	5.0	4.83	12.0
第2064回	2025-12-29	2	7	24	37	39	41	3	5.0	7.0	2.0	10.0	13.0	4.0	6.83	13.0
第2063回	2025-12-25	4	28	29	30	38	42	15	18.0	4.0	21.0	7.0	4.0	1.0	9.17	21.0
第2062回	2025-12-22	1	9	18	24	35	42	8	8.0	4.0	10.0	13.0	9.0	2.0	7.67	13.0
第2061回	2025-12-18	5	6	13	21	33	34	40	4.0	11.0	2.0	4.0	7.0	9.0	6.17	11.0
第2060回	2025-12-15	8	16	22	40	41	42	10	12.0	2.0	3.0	11.0	3.0	2.0	5.5	12.0
第2059回	2025-12-11	2	13	26	28	38	43	3	13.0	11.0	4.0	6.0	2.0	11.0	7.83	13.0
第2058回	2025-12-08	9	12	14	16	19	42	18	16.0	3.0	3.0	11.0	2.0	9.0	7.33	16.0
第2057回	2025-12-04	5	7	21	22	38	41	24	11.0	1.0	2.0	11.0	11.0	4.0	6.67	11.0
第2056回	2025-12-01	3	7	15	17	19	30	38	4.0	11.0	5.0	1.0	9.0	2.0	5.33	11.0
第2055回	2025-11-27	11	12	14	17	21	26	2	5.0	10.0	1.0	19.0	5.0	11.0	8.5	19.0
第2054回	2025-11-24	1	14	27	30	33	37	23	2.0	12.0	3.0	2.0	10.0	1.0	5.0	12.0
第2053回	2025-11-20	20	28	31	35	37	41	13	16.0	2.0	2.0	17.0	5.0	11.0	8.83	17.0
第2052回	2025-11-17	1	3	18	25	30	34	10	7.0	1.0	4.0	2.0	12.0	9.0	5.83	12.0
第2051回	2025-11-13	3	15	27	28	31	39	20	20.0	1.0	12.0	6.0	13.0	2.0	9.0	20.0
第2050回	2025-11-10	6	11	15	21	25	32	5	6.0	3.0	10.0	15.0	1.0	2.0	6.17	15.0
第2049回	2025-11-06	10	24	25	39	40	42	19	2.0	8.0	3.0	2.0	5.0	6.0	4.33	8.0
第2048回	2025-11-03	8	13	18	32	37	43	27	16.0	14.0	21.0	7.0	1.0	6.0	10.83	21.0
第2047回	2025-10-30	10	11	16	19	37	39	27	1.0	3.0	2.0	4.0	9.0	9.0	4.67	9.0
第2046回	2025-10-27	2	5	10	22	25	38	14	7.0	8.0	10.0	3.0	7.0	4.0	6.5	10.0
第2045回	2025-10-23	1	4	7	12	16	28	19	1.0	4.0	5.0	5.0	12.0	15.0	7.0	15.0
第2044回	2025-10-20	1	6	11	26	33	40	14	21.0	16.0	1.0	8.0	11.0	1.0	9.67	21.0
第2043回	2025-10-16	11	19	22	34	40	42	31	17.0	2.0	2.0	16.0	14.0	4.0	9.17	17.0
第2042回	2025-10-13	9	14	29	38	41	43	12	32.0	2.0	5.0	1.0	4.0	13.0	9.5	32.0
第2041回	2025-10-09	4	19	22	24	32	38	11	24.0	13.0	7.0	1.0	11.0	2.0	9.67	24.0
第2040回	2025-10-06	7	12	14	15	24	30	32	3.0	3.0	21.0	1.0	23.0	19.0	11.67	23.0
第2039回	2025-10-02	2	15	25	27	38	42	22	5.0	7.0	5.0	2.0	19.0	1.0	6.5	19.0
第2038回	2025-09-29	5	31	37	39	41	42	33	3.0	9.0	4.0	6.0	13.0	2.0	6.17	13.0
第2037回	2025-09-25	7	12	20	23	27	29	10	1.0	2.0	6.0	6.0	5.0	6.0	4.33	6.0
第2036回	2025-09-22	7	10	17	26	35	42	33	6.0	1.0	1.0	10.0	1.0	8.0	4.5	10.0
