回号	抽せん日	nm1	nm2	nm3	nm4	nm5	nm6	bonus	sum_numbers	sum_bin	回数	割合
第2070回	2026-01-22	6	10	25	30	34	36	12	141	[140, 150)	279	13.5
第2069回	2026-01-19	6	17	23	27	33	35	4	141	[140, 150)	279	13.5
第2068回	2026-01-15	2	10	13	14	29	33	32	101	[100, 110)	172	8.3
第2067回	2026-01-12	3	4	12	15	32	42	31	108	[100, 110)	172	8.3
第2066回	2026-01-08	8	28	30	32	37	38	5	173	[170, 180)	94	4.5
第2065回	2026-01-05	6	18	21	31	37	40	3	153	[150, 160)	204	9.9
第2064回	2025-12-29	2	7	24	37	39	41	3	150	[150, 160)	204	9.9
第2063回	2025-12-25	4	28	29	30	38	42	15	171	[170, 180)	94	4.5
第2062回	2025-12-22	1	9	18	24	35	42	8	129	[120, 130)	285	13.8
第2061回	2025-12-18	5	6	13	21	33	34	40	112	[110, 120)	230	11.1
第2060回	2025-12-15	8	16	22	40	41	42	10	169	[160, 170)	138	6.7
第2059回	2025-12-11	2	13	26	28	38	43	3	150	[150, 160)	204	9.9
第2058回	2025-12-08	9	12	14	16	19	42	18	112	[110, 120)	230	11.1
第2057回	2025-12-04	5	7	21	22	38	41	24	134	[130, 140)	283	13.7
第2056回	2025-12-01	3	7	15	17	19	30	38	91	[90, 100)	127	6.1
第2055回	2025-11-27	11	12	14	17	21	26	2	101	[100, 110)	172	8.3
第2054回	2025-11-24	1	14	27	30	33	37	23	142	[140, 150)	279	13.5
第2053回	2025-11-20	20	28	31	35	37	41	13	192	[190, 200)	39	1.9
第2052回	2025-11-17	1	3	18	25	30	34	10	111	[110, 120)	230	11.1
第2051回	2025-11-13	3	15	27	28	31	39	20	143	[140, 150)	279	13.5
第2050回	2025-11-10	6	11	15	21	25	32	5	110	[110, 120)	230	11.1
第2049回	2025-11-06	10	24	25	39	40	42	19	180	[180, 190)	65	3.1
第2048回	2025-11-03	8	13	18	32	37	43	27	151	[150, 160)	204	9.9
第2047回	2025-10-30	10	11	16	19	37	39	27	132	[130, 140)	283	13.7
第2046回	2025-10-27	2	5	10	22	25	38	14	102	[100, 110)	172	8.3
第2045回	2025-10-23	1	4	7	12	16	28	19	68	[60, 70)	14	0.7
第2044回	2025-10-20	1	6	11	26	33	40	14	117	[110, 120)	230	11.1
第2043回	2025-10-16	11	19	22	34	40	42	31	168	[160, 170)	138	6.7
第2042回	2025-10-13	9	14	29	38	41	43	12	174	[170, 180)	94	4.5
第2041回	2025-10-09	4	19	22	24	32	38	11	139	[130, 140)	283	13.7
第2040回	2025-10-06	7	12	14	15	24	30	32	102	[100, 110)	172	8.3
第2039回	2025-10-02	2	15	25	27	38	42	22	149	[140, 150)	279	13.5
第2038回	2025-09-29	5	31	37	39	41	42	33	195	[190, 200)	39	1.9
第2037回	2025-09-25	7	12	20	23	27	29	10	118	[110, 120)	230	11.1
第2036回	2025-09-22	7	10	17	26	35	42	33	137	[130, 140)	283	13.7
第2035回	2025-09-18	5	10	12	17	21	35	9	100	[100, 110)	172	8.3
第2034回	2025-09-15	2	13	22	25	35	37	17	134	[130, 140)	283	13.7
第2033回	2025-09-11	5	16	21	22	33	35	26	132	[130, 140)	283	13.7
第2032回	2025-09-08	8	15	27	33	37	39	31	159	[150, 160)	204	9.9
第2031回	2025-09-04	2	3	16	20	23	29	27	93	[90, 100)	127	6.1
第2030回	2025-09-01	3	7	28	29	32	36	13	135	[130, 140)	283	13.7
第2029回	2025-08-28	7	21	31	36	40	43	41	178	[170, 180)	94	4.5
第2028回	2025-08-25	6	10	12	19	21	42	16	110	[110, 120)	230	11.1
第2027回	2025-08-21	5	12	18	23	34	39	13	131	[130, 140)	283	13.7
第2026回	2025-08-18	2	5	8	11	20	26	28	72	[70, 80)	41	2.0
第2025回	2025-08-14	12	18	26	28	41	43	35	168	[160, 170)	138	6.7
第2024回	2025-08-11	10	13	16	29	34	42	21	144	[140, 150)	279	13.5
第2023回	2025-08-07	1	20	28	29	31	43	5	152	[150, 160)	204	9.9
第2022回	2025-08-04	2	3	18	26	31	33	30	113	[110, 120)	230	11.1
第2021回	2025-07-31	2	17	22	29	30	43	31	143	[140, 150)	279	13.5
第2020回	2025-07-28	5	21	23	28	38	39	32	154	[150, 160)	204	9.9
第2019回	2025-07-24	7	13	14	21	39	42	9	136	[130, 140)	283	13.7
